E_MeV,D_cm2,A_temp,A_time_min,DWF
3.9,90000000000,895,118,0.042
3.98,98000000000,899,119.6,0.0428
4.06,106000000000,903,121.2,0.0436
29,90000000000,745,28,0.05
29.8,98000000000,749,29.6,0.0508
30.6,106000000000,753,31.2,0.0516
29,4900000000000,1195,118,0.035
29.8,4980000000000,1199,119.6,0.0358
30.6,5060000000000,1203,121.2,0.0366
39,9000000000,795,239,0.033
39.8,9800000000,799,239.8,0.0338
40.6,10600000000,803,240.6,0.0346
34,2900000000,895,239,0.049
34.8,2980000000,899,239.8,0.0498
35.6,3060000000,903,240.6,0.0506
4,900000000000,995,178,0.047
4.8,980000000000,999,179.6,0.0478
5.6,1060000000000,1003,181.2,0.0486
29,9000000000,785,118,0.045
29.8,9800000000,793,119.6,0.0458
30.6,10600000000,801,121.2,0.0466
11,9000000000,785,118,0.032
11.8,9800000000,793,119.6,0.0328
12.6,10600000000,801,121.2,0.0336
49,490000000,795,118,0.043
49.8,498000000,799,119.6,0.0438
50.6,506000000,803,121.2,0.0446
5,90000000000,1195,118,0.044
5.8,98000000000,1199,119.6,0.0448
6.6,106000000000,1203,121.2,0.0456
39,190000000000000,795,118,0.041
39.8,198000000000000,799,119.6,0.0418
40.6,206000000000000,803,121.2,0.0426
3.94,94000000000,897,118.8,0.0424
4.02,102000000000,901,120.4,0.0432
4.1,110000000000,905,122,0.044
29.4,94000000000,747,28.8,0.0504
30.2,102000000000,751,30.4,0.0512
31,110000000000,755,32,0.052
29.4,4940000000000,1197,118.8,0.0354
30.2,5020000000000,1201,120.4,0.0362
31,5100000000000,1205,122,0.037
39.4,9400000000,797,239.4,0.0334
40.2,10200000000,801,240.2,0.0342
41,11000000000,805,241,0.035
34.4,2940000000,897,239.4,0.0494
35.2,3020000000,901,240.2,0.0502
36,3100000000,905,241,0.051
4.4,940000000000,997,178.8,0.0474
5.2,1020000000000,1001,180.4,0.0482
6,1100000000000,1005,182,0.049
29.4,9400000000,789,118.8,0.0454
30.2,10200000000,797,120.4,0.0462
31,11000000000,805,122,0.047
11.4,9400000000,789,118.8,0.0324
12.2,10200000000,797,120.4,0.0332
13,11000000000,805,122,0.034
49.4,494000000,797,118.8,0.0434
50.2,502000000,801,120.4,0.0442
51,510000000,805,122,0.045
5.4,94000000000,1197,118.8,0.0444
6.2,102000000000,1201,120.4,0.0452
7,110000000000,1205,122,0.046
39.4,194000000000000,797,118.8,0.0414
40.2,202000000000000,801,120.4,0.0422
41,210000000000000,805,122,0.043
