E_MeV,D_cm2,A_temp,A_time_min,DWF
145,9000000000,1095,115,0.672
149,9800000000,1099,119,0.6728
153,10600000000,1103,123,0.6736
395,65000000000,1195,115,0.665
399,67000000000,1199,119,0.6658
403,69000000000,1203,123,0.6666
70,30000000000000,1095,59,0.657
71.6,31600000000000,1099,59.8,0.6578
73.2,33200000000000,1103,60.6,0.6586
4.5,9000000000,1495,85,0.742
4.9,9800000000,1499,89,0.7428
5.3,10600000000,1503,93,0.7436
4.5,19000000000,1495,85,0.741
4.9,19800000000,1499,89,0.7418
5.3,20600000000,1503,93,0.7426
4.5,490000000000,1495,85,0.744
4.9,498000000000,1499,89,0.7448
5.3,506000000000,1503,93,0.7456
4.5,4900000000000,1495,85,0.735
4.9,4980000000000,1499,89,0.7358
5.3,5060000000000,1503,93,0.7366
9,900000000000,1045,115,0.748
9.8,980000000000,1049,119,0.7488
10.6,1060000000000,1053,123,0.7496
9,4900000000000,1045,115,0.701
9.8,4980000000000,1049,119,0.7018
10.6,5060000000000,1053,123,0.7026
9,9000000000000,1045,115,0.714
9.8,9800000000000,1049,119,0.7148
10.6,10600000000000,1053,123,0.7156
9,90000000000000,1045,115,0.686
9.8,98000000000000,1049,119,0.6868
10.6,106000000000000,1053,123,0.6876
19,900000000000,1045,115,0.733
19.8,980000000000,1049,119,0.7338
20.6,1060000000000,1053,123,0.7346
19,4900000000000,1045,115,0.731
19.8,4980000000000,1049,119,0.7318
20.6,5060000000000,1053,123,0.7326
19,9000000000000,995,115,0.674
19.8,9800000000000,999,119,0.6748
20.6,10600000000000,1003,123,0.6756
19,90000000000000,995,115,0.704
19.8,98000000000000,999,119,0.7048
20.6,106000000000000,1003,123,0.7056
49,900000000000,1045,115,0.661
49.8,980000000000,1049,119,0.6618
50.6,1060000000000,1053,123,0.6626
49,4900000000000,1045,115,0.68
49.8,4980000000000,1049,119,0.6808
50.6,5060000000000,1053,123,0.6816
49,9000000000000,995,115,0.737
49.8,9800000000000,999,119,0.7378
50.6,10600000000000,1003,123,0.7386
49,90000000000000,995,115,0.648
49.8,98000000000000,999,119,0.6488
50.6,106000000000000,1003,123,0.6496
99,900000000000,1045,115,0.653
99.8,980000000000,1049,119,0.6538
100.6,1060000000000,1053,123,0.6546
99,4900000000000,1045,115,0.697
99.8,4980000000000,1049,119,0.6978
100.6,5060000000000,1053,123,0.6986
99,9000000000000,995,115,0.649
99.8,9800000000000,999,119,0.6498
100.6,10600000000000,1003,123,0.6506
99,90000000000000,995,115,0.644
99.8,98000000000000,999,119,0.6448
100.6,106000000000000,1003,123,0.6456
65,900000000,1195,115,0.67
69,980000000,1199,119,0.6708
73,1060000000,1203,123,0.6716
17995,6000000000000,1795,0.9,0.746
17999,6400000000000,1799,0.98,0.7468
18003,6800000000000,1803,1.06,0.7476
130,290000000000,1095,595,0.695
131.6,298000000000,1099,599,0.6958
133.2,306000000000,1103,603,0.6966
95,30000000000000,1095,118,0.678
95.8,31600000000000,1099,119.6,0.6788
96.6,33200000000000,1103,121.2,0.6796
2995,65000000000,1095,115,0.708
2999,67000000000,1099,119,0.7088
3003,69000000000,1103,123,0.7096
19,90000000,1195,59,0.722
19.8,98000000,1199,59.8,0.7228
20.6,106000000,1203,60.6,0.7236
19,900000000000,1195,59,0.651
19.8,980000000000,1199,59.8,0.6518
20.6,1060000000000,1203,60.6,0.6526
19,9000000000000,1195,59,0.685
19.8,9800000000000,1199,59.8,0.6858
20.6,10600000000000,1203,60.6,0.6866
19,90000000000000,1195,59,0.75
19.8,98000000000000,1199,59.8,0.7508
20.6,106000000000000,1203,60.6,0.7516
147,9400000000,1097,117,0.6724
151,10200000000,1101,121,0.6732
155,11000000000,1105,125,0.674
397,66000000000,1197,117,0.6654
401,68000000000,1201,121,0.6662
405,70000000000,1205,125,0.667
70.8,30800000000000,1097,59.4,0.6574
72.4,32400000000000,1101,60.2,0.6582
74,34000000000000,1105,61,0.659
4.7,9400000000,1497,87,0.7424
5.1,10200000000,1501,91,0.7432
5.5,11000000000,1505,95,0.744
4.7,19400000000,1497,87,0.7414
5.1,20200000000,1501,91,0.7422
5.5,21000000000,1505,95,0.743
4.7,494000000000,1497,87,0.7444
5.1,502000000000,1501,91,0.7452
5.5,510000000000,1505,95,0.746
4.7,4940000000000,1497,87,0.7354
5.1,5020000000000,1501,91,0.7362
5.5,5100000000000,1505,95,0.737
9.4,940000000000,1047,117,0.7484
10.2,1020000000000,1051,121,0.7492
11,1100000000000,1055,125,0.75
9.4,4940000000000,1047,117,0.7014
10.2,5020000000000,1051,121,0.7022
11,5100000000000,1055,125,0.703
9.4,9400000000000,1047,117,0.7144
10.2,10200000000000,1051,121,0.7152
11,11000000000000,1055,125,0.716
9.4,94000000000000,1047,117,0.6864
10.2,102000000000000,1051,121,0.6872
11,110000000000000,1055,125,0.688
19.4,940000000000,1047,117,0.7334
20.2,1020000000000,1051,121,0.7342
21,1100000000000,1055,125,0.735
19.4,4940000000000,1047,117,0.7314
20.2,5020000000000,1051,121,0.7322
21,5100000000000,1055,125,0.733
19.4,9400000000000,997,117,0.6744
20.2,10200000000000,1001,121,0.6752
21,11000000000000,1005,125,0.676
19.4,94000000000000,997,117,0.7044
20.2,102000000000000,1001,121,0.7052
21,110000000000000,1005,125,0.706
49.4,940000000000,1047,117,0.6614
50.2,1020000000000,1051,121,0.6622
51,1100000000000,1055,125,0.663
49.4,4940000000000,1047,117,0.6804
50.2,5020000000000,1051,121,0.6812
51,5100000000000,1055,125,0.682
49.4,9400000000000,997,117,0.7374
50.2,10200000000000,1001,121,0.7382
51,11000000000000,1005,125,0.739
49.4,94000000000000,997,117,0.6484
50.2,102000000000000,1001,121,0.6492
51,110000000000000,1005,125,0.65
99.4,940000000000,1047,117,0.6534
100.2,1020000000000,1051,121,0.6542
101,1100000000000,1055,125,0.655
99.4,4940000000000,1047,117,0.6974
100.2,5020000000000,1051,121,0.6982
101,5100000000000,1055,125,0.699
99.4,9400000000000,997,117,0.6494
100.2,10200000000000,1001,121,0.6502
101,11000000000000,1005,125,0.651
99.4,94000000000000,997,117,0.6444
100.2,102000000000000,1001,121,0.6452
101,110000000000000,1005,125,0.646
67,940000000,1197,117,0.6704
71,1020000000,1201,121,0.6712
75,1100000000,1205,125,0.672
17997,6200000000000,1797,0.94,0.7464
18001,6600000000000,1801,1.02,0.7472
18005,7000000000000,1805,1.1,0.748
130.8,294000000000,1097,597,0.6954
132.4,302000000000,1101,601,0.6962
134,310000000000,1105,605,0.697
95.4,30800000000000,1097,118.8,0.6784
96.2,32400000000000,1101,120.4,0.6792
97,34000000000000,1105,122,0.68
2997,66000000000,1097,117,0.7084
3001,68000000000,1101,121,0.7092
3005,70000000000,1105,125,0.71
19.4,94000000,1197,59.4,0.7224
20.2,102000000,1201,60.2,0.7232
21,110000000,1205,61,0.724
19.4,940000000000,1197,59.4,0.6514
20.2,1020000000000,1201,60.2,0.6522
21,1100000000000,1205,61,0.653
19.4,9400000000000,1197,59.4,0.6854
20.2,10200000000000,1201,60.2,0.6862
21,11000000000000,1205,61,0.687
19.4,94000000000000,1197,59.4,0.7504
20.2,102000000000000,1201,60.2,0.7512
21,110000000000000,1205,61,0.752
