E_MeV,D_cm2,A_temp,A_time_min,DWF
128,190000000,795,28,0.47
129.6,198000000,799,29.6,0.4708
131.2,206000000,803,31.2,0.4716
148,19000000000000,2095,28,0.485
149.6,19800000000000,2099,29.6,0.4858
151.2,20600000000000,2103,31.2,0.4866
58,290000000000,895,28,0.487
59.6,298000000000,899,29.6,0.4878
61.2,306000000000,903,31.2,0.4886
58,19000000000,945,115,0.505
59.6,19800000000,949,119,0.5058
61.2,20600000000,953,123,0.5066
58,49000000000,945,115,0.497
59.6,49800000000,949,119,0.4978
61.2,50600000000,953,123,0.4986
58,90000000000,945,115,0.483
59.6,98000000000,949,119,0.4838
61.2,106000000000,953,123,0.4846
9995,49000000000000,945,115,0.498
9999,49800000000000,949,119,0.4988
10003,50600000000000,953,123,0.4996
78,290000000000,1195,475,0.5
79.6,298000000000,1199,479,0.5008
81.2,306000000000,1203,483,0.5016
365,190000000000,1095,88,0.503
369,198000000000,1099,89.6,0.5038
373,206000000000,1103,91.2,0.5046
365,19000000000000,1095,28,0.502
369,19800000000000,1099,29.6,0.5028
373,20600000000000,1103,31.2,0.5036
75,9000000000,1195,235,0.482
75.8,9800000000,1199,239,0.4828
76.6,10600000000,1203,243,0.4836
75,90000000000,1195,235,0.51
75.8,98000000000,1199,239,0.5108
76.6,106000000000,1203,243,0.5116
58,1900000000000,915,8,0.477
59.6,1980000000000,919,9.6,0.4778
61.2,2060000000000,923,11.2,0.4786
79,19000000000000,1195,235,0.499
79.8,19800000000000,1199,239,0.4998
80.6,20600000000000,1203,243,0.5006
695,19000000000000,2095,28,0.491
699,19800000000000,2099,29.6,0.4918
703,20600000000000,2103,31.2,0.4926
58,19000000000,1195,115,0.489
59.6,19800000000,1199,119,0.4898
61.2,20600000000,1203,123,0.4906
345,900000000,1195,118,0.472
349,980000000,1199,119.6,0.4728
353,1060000000,1203,121.2,0.4736
695,900000000,2095,115,0.481
699,980000000,2099,119,0.4818
703,1060000000,2103,123,0.4826
695,900000000000,2095,115,0.486
699,980000000000,2099,119,0.4868
703,1060000000000,2103,123,0.4876
695,79000000000000,2095,115,0.506
699,79800000000000,2099,119,0.5068
703,80600000000000,2103,123,0.5076
345,90000000000,1195,715,0.48
349,98000000000,1199,719,0.4808
353,106000000000,1203,723,0.4816
128.8,194000000,797,28.8,0.4704
130.4,202000000,801,30.4,0.4712
132,210000000,805,32,0.472
148.8,19400000000000,2097,28.8,0.4854
150.4,20200000000000,2101,30.4,0.4862
152,21000000000000,2105,32,0.487
58.8,294000000000,897,28.8,0.4874
60.4,302000000000,901,30.4,0.4882
62,310000000000,905,32,0.489
58.8,19400000000,947,117,0.5054
60.4,20200000000,951,121,0.5062
62,21000000000,955,125,0.507
58.8,49400000000,947,117,0.4974
60.4,50200000000,951,121,0.4982
62,51000000000,955,125,0.499
58.8,94000000000,947,117,0.4834
60.4,102000000000,951,121,0.4842
62,110000000000,955,125,0.485
9997,49400000000000,947,117,0.4984
10001,50200000000000,951,121,0.4992
10005,51000000000000,955,125,0.5
78.8,294000000000,1197,477,0.5004
80.4,302000000000,1201,481,0.5012
82,310000000000,1205,485,0.502
367,194000000000,1097,88.8,0.5034
371,202000000000,1101,90.4,0.5042
375,210000000000,1105,92,0.505
367,19400000000000,1097,28.8,0.5024
371,20200000000000,1101,30.4,0.5032
375,21000000000000,1105,32,0.504
75.4,9400000000,1197,237,0.4824
76.2,10200000000,1201,241,0.4832
77,11000000000,1205,245,0.484
75.4,94000000000,1197,237,0.5104
76.2,102000000000,1201,241,0.5112
77,110000000000,1205,245,0.512
58.8,1940000000000,917,8.8,0.4774
60.4,2020000000000,921,10.4,0.4782
62,2100000000000,925,12,0.479
79.4,19400000000000,1197,237,0.4994
80.2,20200000000000,1201,241,0.5002
81,21000000000000,1205,245,0.501
697,19400000000000,2097,28.8,0.4914
701,20200000000000,2101,30.4,0.4922
705,21000000000000,2105,32,0.493
58.8,19400000000,1197,117,0.4894
60.4,20200000000,1201,121,0.4902
62,21000000000,1205,125,0.491
347,940000000,1197,118.8,0.4724
351,1020000000,1201,120.4,0.4732
355,1100000000,1205,122,0.474
697,940000000,2097,117,0.4814
701,1020000000,2101,121,0.4822
705,1100000000,2105,125,0.483
697,940000000000,2097,117,0.4864
701,1020000000000,2101,121,0.4872
705,1100000000000,2105,125,0.488
697,79400000000000,2097,117,0.5064
701,80200000000000,2101,121,0.5072
705,81000000000000,2105,125,0.508
347,94000000000,1197,717,0.4804
351,102000000000,1201,721,0.4812
355,110000000000,1205,725,0.482
